elap_secs	cum_tps	int_tps	cum_ips	int_ips
2480	94.24	94.21	0.00	0.00
2490	94.23	93.39	0.00	0.00
2500	94.24	95.29	0.00	0.00
2510	94.23	93.51	0.00	0.00
2520	94.23	93.31	0.00	0.00
2530	94.24	95.70	0.00	0.00
2540	94.24	94.85	0.00	0.00
2550	94.24	94.73	0.00	0.00
2560	94.24	95.00	0.00	0.00
2570	94.25	95.09	0.00	0.00
2580	94.24	93.55	0.00	0.00
2590	94.25	95.35	0.00	0.00
2600	94.25	94.13	0.00	0.00
2610	94.24	93.62	0.00	0.00
2620	94.24	93.23	0.00	0.00
2630	94.25	95.49	0.00	0.00
2640	94.25	94.07	0.00	0.00
2650	94.25	94.89	0.00	0.00
2660	94.25	95.37	0.00	0.00
2670	94.25	94.80	0.00	0.00
2680	94.25	93.76	0.00	0.00
2690	94.26	95.13	0.00	0.00
2700	94.26	94.49	0.00	0.00
2710	94.26	94.16	0.00	0.00
2720	94.26	94.26	0.00	0.00
2730	94.26	94.79	0.00	0.00
2740	94.26	94.38	0.00	0.00
2750	94.26	95.04	0.00	0.00
2760	94.26	93.70	0.00	0.00
2770	94.26	94.41	0.00	0.00
2780	94.26	94.61	0.00	0.00
2790	94.26	94.82	0.00	0.00
2800	94.27	95.61	0.00	0.00
2810	94.27	94.57	0.00	0.00
2820	94.26	93.15	0.00	0.00
2830	94.26	93.78	0.00	0.00
2840	94.27	94.93	0.00	0.00
2850	94.27	94.54	0.00	0.00
2860	94.27	94.10	0.00	0.00
2870	94.27	94.48	0.00	0.00
2880	94.27	95.05	0.00	0.00
2890	94.27	94.68	0.00	0.00
2900	94.28	95.76	0.00	0.00
2910	94.28	94.19	0.00	0.00
2920	94.27	94.05	0.00	0.00
2930	94.27	93.66	0.00	0.00
2940	94.28	95.03	0.00	0.00
2950	94.28	95.37	0.00	0.00
2960	94.27	92.80	0.00	0.00
2970	94.27	93.99	0.00	0.00
2980	94.27	94.60	0.00	0.00
2990	94.28	95.97	0.00	0.00
3000	94.28	93.82	0.00	0.00
3010	94.28	95.75	0.00	0.00
3020	94.28	94.20	0.00	0.00
3030	94.28	94.79	0.00	0.00
3040	94.28	93.43	0.00	0.00
3050	94.28	95.22	0.00	0.00
3060	94.28	92.98	0.00	0.00
3070	94.28	94.29	0.00	0.00
3080	94.28	94.38	0.00	0.00
3090	94.28	94.76	0.00	0.00
3100	94.28	94.51	0.00	0.00
3110	94.29	95.48	0.00	0.00
3120	94.29	95.05	0.00	0.00
3130	94.29	95.26	0.00	0.00
3140	94.29	93.77	0.00	0.00
3150	94.29	95.20	0.00	0.00
3160	94.29	94.52	0.00	0.00
3170	94.29	93.92	0.00	0.00
3180	94.29	93.80	0.00	0.00
3190	94.29	93.42	0.00	0.00
3200	94.29	94.18	0.00	0.00
3210	94.29	93.91	0.00	0.00
3220	94.29	95.26	0.00	0.00
3230	94.29	95.79	0.00	0.00
3240	94.30	94.39	0.00	0.00
3250	94.30	94.73	0.00	0.00
3260	94.30	95.58	0.00	0.00
3270	94.30	94.52	0.00	0.00
3280	94.30	94.29	0.00	0.00
3290	94.30	94.30	0.00	0.00
3300	94.30	93.15	0.00	0.00
3310	94.30	93.70	0.00	0.00
3320	94.30	94.95	0.00	0.00
3330	94.30	94.70	0.00	0.00
3340	94.30	93.63	0.00	0.00
3350	94.30	94.93	0.00	0.00
3360	94.30	95.20	0.00	0.00
3370	94.31	96.53	0.00	0.00
3380	94.31	93.97	0.00	0.00
3390	94.31	95.76	0.00	0.00
3400	94.31	92.87	0.00	0.00
3410	94.30	92.92	0.00	0.00
3420	94.30	92.99	0.00	0.00
3430	94.30	94.09	0.00	0.00
3440	94.29	93.04	0.00	0.00
3450	94.30	94.87	0.00	0.00
3460	94.30	95.69	0.00	0.00
3470	94.30	95.38	0.00	0.00
3480	94.31	95.75	0.00	0.00
3490	94.31	96.48	0.00	0.00
3500	94.32	94.66	0.00	0.00
3510	94.31	93.76	0.00	0.00
3520	94.31	94.20	0.00	0.00
3530	94.31	93.40	0.00	0.00
3540	94.31	93.11	0.00	0.00
3550	94.30	93.29	0.00	0.00
3560	94.30	93.86	0.00	0.00
3570	94.31	95.10	0.00	0.00
3580	94.31	95.16	0.00	0.00
3590	94.31	95.99	0.00	0.00
3600	94.31	95.09	0.00	0.00
