elap_secs	cum_tps	int_tps	cum_ips	int_ips
2280	96.71	96.88	0.00	0.00
2290	96.71	96.76	0.00	0.00
2300	96.71	96.68	0.00	0.00
2310	96.71	96.68	0.00	0.00
2320	96.71	96.97	0.00	0.00
2330	96.71	96.55	0.00	0.00
2340	96.71	96.66	0.00	0.00
2350	96.71	96.78	0.00	0.00
2360	96.71	96.69	0.00	0.00
2370	96.71	96.75	0.00	0.00
2380	96.71	96.68	0.00	0.00
2390	96.71	96.45	0.00	0.00
2400	96.71	97.01	0.00	0.00
2410	96.71	96.66	0.00	0.00
2420	96.71	96.76	0.00	0.00
2430	96.71	96.67	0.00	0.00
2440	96.71	96.87	0.00	0.00
2450	96.71	96.78	0.00	0.00
2460	96.71	96.58	0.00	0.00
2470	96.71	96.66	0.00	0.00
2480	96.71	96.64	0.00	0.00
2490	96.71	96.78	0.00	0.00
2500	96.71	96.88	0.00	0.00
2510	96.71	96.68	0.00	0.00
2520	96.71	96.38	0.00	0.00
2530	96.71	96.98	0.00	0.00
2540	96.71	96.68	0.00	0.00
2550	96.71	96.56	0.00	0.00
2560	96.71	96.75	0.00	0.00
2570	96.71	97.06	0.00	0.00
2580	96.71	96.59	0.00	0.00
2590	96.71	96.59	0.00	0.00
2600	96.71	96.89	0.00	0.00
2610	96.71	96.49	0.00	0.00
2620	96.71	96.60	0.00	0.00
2630	96.71	96.78	0.00	0.00
2640	96.71	96.84	0.00	0.00
2650	96.71	96.65	0.00	0.00
2660	96.71	96.98	0.00	0.00
2670	96.71	96.39	0.00	0.00
2680	96.71	96.79	0.00	0.00
2690	96.71	97.00	0.00	0.00
2700	96.71	96.70	0.00	0.00
2710	96.71	96.39	0.00	0.00
2720	96.71	97.04	0.00	0.00
2730	96.71	96.65	0.00	0.00
2740	96.71	96.57	0.00	0.00
2750	96.71	96.85	0.00	0.00
2760	96.71	96.48	0.00	0.00
2770	96.71	97.07	0.00	0.00
2780	96.71	96.56	0.00	0.00
2790	96.71	96.66	0.00	0.00
2800	96.71	96.66	0.00	0.00
2810	96.71	96.79	0.00	0.00
2820	96.71	96.68	0.00	0.00
2830	96.71	96.84	0.00	0.00
2840	96.71	96.37	0.00	0.00
2850	96.71	96.77	0.00	0.00
2860	96.71	96.79	0.00	0.00
2870	96.71	96.88	0.00	0.00
2880	96.71	96.55	0.00	0.00
2890	96.71	96.99	0.00	0.00
2900	96.71	96.49	0.00	0.00
2910	96.71	96.56	0.00	0.00
2920	96.71	96.99	0.00	0.00
2930	96.71	96.57	0.00	0.00
2940	96.71	96.95	0.00	0.00
