engine,memory,filesystem,configuration,distribution,test,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
wt,120,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,130,0.00,98912.09,15.34,9006.00,100
wt,120,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,140,0.00,99387.68,15.36,9041.80,100
wt,120,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,150,0.00,99387.19,15.36,9038.30,100
wt,120,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,160,0.00,99492.63,15.39,9054.10,100
wt,120,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,170,0.00,99721.41,15.38,9063.49,100
wt,120,ext4,wt2,pareto,oltp_ro,psfm,60000000,98,180,0.00,99404.97,15.31,9043.71,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,10,0.00,42820.82,19.97,10429.39,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,20,0.00,51725.20,12.43,12604.45,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,30,0.00,51848.19,12.62,12616.37,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,40,0.00,51995.52,12.73,12657.93,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,50,0.00,52004.52,12.83,12675.86,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,60,0.00,51965.19,12.94,12666.74,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,70,0.00,51626.19,13.02,12575.15,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,80,0.00,51731.25,13.07,12582.16,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,90,0.00,51755.63,13.07,12606.36,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,100,0.00,51774.19,13.06,12613.92,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,110,0.00,51928.94,13.07,12629.16,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,120,0.00,51764.81,13.11,12602.95,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,130,0.00,51943.47,13.07,12650.77,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,140,0.00,51911.61,13.09,12629.52,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,150,0.00,51802.20,13.09,12626.48,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,160,0.00,51844.17,13.11,12618.94,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,170,0.00,51801.11,13.12,12609.05,100
wt,120,ext4,wt2,uniform,oltp_ro,psfm,60000000,99,180,0.00,51778.71,13.10,12605.03,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,10,0.00,72386.02,23.97,6583.05,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,20,0.00,79800.63,17.99,7260.40,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,30,0.00,80395.92,17.90,7308.70,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,40,0.00,80450.54,17.87,7324.19,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,50,0.00,80684.15,17.83,7339.80,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,60,0.00,80846.09,17.85,7354.30,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,70,0.00,80539.11,17.94,7321.60,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,80,0.00,80749.51,17.80,7349.10,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,90,0.00,80943.98,17.76,7360.00,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,100,0.00,80941.81,17.81,7358.10,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,110,0.00,80500.89,17.88,7324.70,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,120,0.00,80535.82,17.90,7327.70,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,130,0.00,80598.10,17.91,7331.10,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,140,0.00,80958.59,17.80,7364.80,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,150,0.00,81052.50,17.77,7378.50,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,160,0.00,80963.70,17.76,7371.30,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,170,0.00,80570.29,17.92,7328.70,100
rocks,130,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,180,0.00,81191.90,17.73,7380.50,100
rocks,130,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,10,0.00,46455.31,13.72,11319.06,100
rocks,130,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,20,0.00,48452.19,12.35,11802.94,100
rocks,130,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,30,0.00,48501.66,12.32,11804.57,100
rocks,130,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,40,0.00,48735.29,12.27,11863.24,100
rocks,130,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,50,0.00,48846.88,12.21,11904.95,100
rocks,130,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,60,0.00,48754.22,12.25,11877.15,100
rocks,130,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,70,0.00,48445.18,12.39,11809.45,100
rocks,130,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,80,0.00,48526.02,12.38,11807.15,100
