profile_level,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
pl0,oltp_ro,2000000,1,29,0.00,2285.98,1.33,2285.98,1
pl0,oltp_ro,2000000,1,30,0.00,2295.02,1.32,2295.02,1
pl0,oltp_ro,2000000,16,1,0.00,37943.91,1.42,37943.91,16
pl0,oltp_ro,2000000,16,2,0.00,38674.26,1.41,38674.26,16
pl0,oltp_ro,2000000,16,3,0.00,37857.62,1.42,37857.62,16
pl0,oltp_ro,2000000,16,4,0.00,38979.47,1.50,38979.47,16
pl0,oltp_ro,2000000,16,5,0.00,38619.96,1.45,38619.96,16
pl0,oltp_ro,2000000,16,6,0.00,36665.67,1.42,36665.67,16
pl0,oltp_ro,2000000,16,7,0.00,38102.38,1.42,38102.38,16
pl0,oltp_ro,2000000,16,8,0.00,37665.64,1.42,37665.64,16
pl0,oltp_ro,2000000,16,9,0.00,37460.09,1.42,37460.09,16
pl0,oltp_ro,2000000,16,10,0.00,34544.08,1.67,34544.08,16
pl0,oltp_ro,2000000,16,11,0.00,37961.96,1.43,37961.96,16
pl0,oltp_ro,2000000,16,12,0.00,37603.06,1.52,37603.06,16
pl0,oltp_ro,2000000,16,13,0.00,37772.78,1.44,37772.78,16
pl0,oltp_ro,2000000,16,14,0.00,37707.35,1.42,37707.35,16
pl0,oltp_ro,2000000,16,15,0.00,37851.85,1.43,37851.85,16
pl0,oltp_ro,2000000,16,16,0.00,37335.20,1.42,37335.20,16
pl0,oltp_ro,2000000,16,17,0.00,38440.88,1.41,38440.88,16
pl0,oltp_ro,2000000,16,18,0.00,36415.85,1.64,36415.85,16
pl0,oltp_ro,2000000,16,19,0.00,35649.02,1.64,35649.02,16
pl0,oltp_ro,2000000,16,20,0.00,37773.89,1.43,37773.89,16
pl0,oltp_ro,2000000,16,21,0.00,38370.07,1.43,38370.07,16
pl0,oltp_ro,2000000,16,22,0.00,38349.99,1.43,38349.99,16
pl0,oltp_ro,2000000,16,23,0.00,38113.89,1.43,38113.89,16
pl0,oltp_ro,2000000,16,24,0.00,38048.26,1.44,38048.26,16
pl0,oltp_ro,2000000,16,25,0.00,38651.89,1.43,38651.89,16
pl0,oltp_ro,2000000,16,26,0.00,38422.10,1.44,38422.10,16
