engine,memory,filesystem,configuration,distribution,test,i,"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",1,"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
wt,100,ext4,wt2,pareto,oltp_ro,5,50.575,13.496,31.823,1.307,0.0,2.798,196541644.800,13670.400,27358779.700,233430629.200,0.0,0.0,720766.800,999679.800
wt,100,ext4,wt2,pareto,oltp_ro,6,50.012,13.521,32.773,0.892,0.0,2.803,145999872.0,1638.400,27328169.100,232713711.800,0.0,0.0,716858.0,996228.0
wt,100,ext4,wt2,pareto,oltp_ro,7,49.833,13.384,33.305,0.687,0.0,2.791,116654080.0,1638.400,27275146.700,232760127.700,0.0,0.0,714690.500,995163.400
wt,100,ext4,wt2,pareto,oltp_ro,8,49.808,13.184,33.708,0.555,0.0,2.745,96464486.400,6860.800,27348423.0,232969769.0,0.0,0.0,715952.800,996973.600
wt,100,ext4,wt2,pareto,oltp_ro,9,49.748,13.231,33.870,0.455,0.0,2.696,80267673.600,1638.400,27284919.400,232838149.600,0.0,0.0,716615.700,997040.400
wt,100,ext4,wt2,pareto,oltp_ro,10,49.296,13.393,34.178,0.387,0.0,2.746,69724569.600,1638.400,27285722.500,232723650.300,0.0,0.0,712731.300,994641.300
wt,100,ext4,wt2,pareto,oltp_ro,11,49.689,13.333,34.008,0.338,0.0,2.633,60803891.200,7680.0,27340838.200,233208473.800,0.0,0.0,714477.400,997571.500
wt,100,ext4,wt2,pareto,oltp_ro,12,49.553,12.868,34.533,0.295,0.0,2.750,53450752.0,1638.400,27244473.200,232397430.500,0.0,0.0,713758.400,997955.100
wt,100,ext4,wt2,pareto,oltp_ro,13,49.265,13.200,34.476,0.264,0.0,2.795,47812198.400,1638.400,27269419.900,232688369.200,0.0,0.0,712955.200,995009.900
wt,100,ext4,wt2,pareto,oltp_ro,14,49.593,13.108,34.340,0.230,0.0,2.730,42182246.400,1945.600,27332697.500,232931575.900,0.0,0.0,714328.600,998433.700
wt,100,ext4,wt2,pareto,oltp_ro,15,49.540,13.139,34.304,0.205,0.0,2.811,37978214.400,13107.200,27411636.500,233537329.500,0.0,0.0,713728.500,997128.800
wt,100,ext4,wt2,pareto,oltp_ro,16,49.585,13.051,34.501,0.185,0.0,2.678,34155724.800,4096.0,27437572.700,233955038.300,0.0,0.0,713256.700,995288.200
wt,100,ext4,wt2,pareto,oltp_ro,17,49.443,13.148,34.596,0.172,0.0,2.641,31268044.800,1996.800,27386365.900,233172522.400,0.0,0.0,718389.200,997901.800
wt,100,ext4,wt2,pareto,oltp_ro,18,49.280,13.069,34.728,0.147,0.0,2.776,27970355.200,1638.400,27331624.200,233150458.700,0.0,0.0,712821.0,996517.400
wt,100,ext4,wt2,pareto,oltp_ro,19,49.376,13.227,34.500,0.138,0.0,2.759,25615564.800,1638.400,27376853.300,233264431.200,0.0,0.0,714597.900,999198.100
wt,100,ext4,wt2,pareto,oltp_ro,20,49.236,13.063,34.770,0.129,0.0,2.801,23949312.0,4454.400,27345480.300,232888228.900,0.0,0.0,715050.0,1001001.500
wt,100,ext4,wt2,uniform,oltp_ro,2,14.820,4.407,79.658,0.242,0.0,0.874,1327689.114,44402946.429,0.0,0.0,18070.765,102010.205,213529.953,327100.277
wt,100,ext4,wt2,uniform,oltp_ro,3,11.376,3.880,73.285,10.767,0.0,0.692,202155929.600,31527372.800,9662362.800,21131382.400,0.0,0.0,170984.200,190465.900
