engine,memory,filesystem,configuration,distribution,test,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,30,0.00,24855.39,51.96,2924.60,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,40,0.00,27921.10,46.91,3285.19,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,50,0.00,30819.40,42.60,3626.19,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,60,0.00,33838.51,39.16,3981.23,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,70,0.00,36847.69,36.15,4335.50,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,80,0.00,40337.12,33.21,4746.30,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,90,0.00,44206.29,30.52,5199.50,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,100,0.00,48482.30,27.91,5704.80,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,110,0.00,54067.47,25.14,6359.50,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,120,0.00,59605.72,22.64,7011.50,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,130,0.00,62663.17,21.43,7373.78,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,140,0.00,64223.30,20.78,7556.10,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,150,0.00,65162.12,20.45,7661.50,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,160,0.00,65890.42,20.09,7758.51,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,170,0.00,66198.69,20.01,7786.30,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,180,0.00,66474.33,19.94,7819.20,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,190,0.00,66729.88,19.75,7852.30,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,200,0.00,66904.51,19.80,7868.69,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,210,0.00,67561.08,19.41,7948.33,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,220,0.00,68275.72,19.18,8032.41,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,230,0.00,68727.38,18.98,8085.50,100
