tot_inserts	elap_secs	cum_ips	int_ips
130625000	2970	43981.13	39975.83
130988000	2980	43954.60	36115.81
131449000	2990	43961.55	46030.95
131889000	3000	43962.30	44185.58
132304000	3010	43953.78	41404.77
132744000	3020	43954.31	44114.70
133121000	3030	43933.28	37598.48
133531000	3040	43924.40	41218.46
133940000	3050	43913.43	40603.59
134359000	3060	43907.55	42106.32
134771000	3070	43898.35	41089.06
135148000	3080	43879.02	37912.31
135525000	3090	43858.75	37628.51
135935000	3100	43849.76	41065.71
136376000	3110	43849.86	43880.60
136758000	3120	43831.50	38131.36
137177000	3130	43825.57	41971.35
137598000	3140	43819.87	42041.14
137966000	3150	43797.52	36781.61
138377000	3160	43789.76	41331.46
138827000	3170	43793.18	44869.88
139232000	3180	43783.62	40736.27
139649000	3190	43776.02	41377.26
140092000	3200	43777.45	44233.65
140441000	3210	43750.46	35071.85
140683000	3220	43689.18	24098.79
141104000	3230	43685.38	42452.35
141533000	3240	43682.34	42703.56
141947000	3250	43675.06	41321.49
142358000	3260	43666.88	41013.87
142713000	3270	43642.93	35775.47
143121000	3280	43633.89	40686.08
143501000	3290	43616.48	37916.58
144032000	3300	43645.73	53307.90
144694000	3310	43712.94	65739.82
145325000	3320	43772.21	63519.23
145939000	3330	43824.64	61167.56
146537000	3340	43872.13	59644.92
147090000	3350	43907.16	55689.83
147619000	3360	43933.55	52747.03
148129000	3370	43954.24	50893.12
148621000	3380	43969.51	49106.70
149037000	3390	43963.46	41901.69
149523000	3400	43976.78	48483.64
150003000	3410	43988.10	47823.05
150426000	3420	43984.02	42581.03
150887000	3430	43989.83	45971.28
151328000	3440	43990.48	44214.96
151719000	3450	43976.16	39057.04
152164000	3460	43977.09	44296.24
152619000	3470	43982.14	45737.84
153061000	3480	43982.55	44124.99
153524000	3490	43988.79	46152.31
153950000	3500	43985.04	42672.54
154050000	3510	43887.96	9980.04
154177000	3520	43799.10	12673.39
154285000	3530	43706.70	10894.78
154460000	3540	43632.47	17472.04
154588000	3550	43545.24	12760.44
154765000	3560	43472.47	17675.25
155130000	3570	43452.72	36434.42
155544000	3580	43447.06	41424.85
155942000	3590	43437.60	40032.19
156376000	3600	43437.32	43335.00
156806000	3610	43435.58	42811.63
157170000	3620	43416.95	36645.53
157542000	3630	43399.58	37125.75
157952000	3640	43392.39	40796.02
158309000	3650	43371.92	35883.00
158732000	3660	43368.85	42249.30
159162000	3670	43367.40	42837.22
159578000	3680	43362.51	41570.90
159827000	3690	43313.48	25113.46
160221000	3700	43302.58	39289.99
160660000	3710	43304.00	43829.87
160993000	3720	43276.93	33250.12
161409000	3730	43273.12	41846.90
161845000	3740	43273.54	43430.62
162210000	3750	43255.13	36390.83
162375000	3760	43183.75	16467.07
162794000	3770	43181.32	42259.20
163222000	3780	43180.15	42740.16
163631000	3790	43173.97	40842.82
164024000	3800	43163.48	39198.08
164386000	3810	43145.76	36378.25
164779000	3820	43135.15	39112.26
165164000	3830	43122.71	38384.85
165576000	3840	43117.73	41208.24
165969000	3850	43108.73	39624.92
166342000	3860	43092.98	37066.48
166686000	3870	43070.25	34317.64
167007000	3880	43042.68	32303.51
167429000	3890	43040.21	42086.37
167881000	3900	43046.37	45454.55
168478000	3910	43088.37	59385.26
169181000	3920	43157.58	70166.68
169786000	3930	43201.56	60415.42
170395000	3940	43247.00	61193.73
170941000	3950	43276.18	54819.28
171482000	3960	43302.86	53777.34
171987000	3970	43320.67	50353.97
172491000	3980	43339.38	50832.07
172868000	3990	43324.98	37605.99
173357000	4000	43339.09	48978.37
173836000	4010	43350.16	47766.25
174239000	4020	43342.37	40223.58
174696000	4030	43348.07	45636.11
175141000	4040	43350.73	44424.48
175545000	4050	43344.27	40713.49
175968000	4060	43341.86	42363.55
176410000	4070	43343.82	44138.21
176869000	4080	43349.29	45558.31
177253000	4090	43338.09	38729.20
177727000	4100	43347.60	47225.27
178138000	4110	43341.95	41026.15
178600000	4120	43348.70	46121.59
178989000	4130	43337.71	38818.48
179444000	4140	43343.28	45650.65
179879000	4150	43343.49	43430.51
180284000	4160	43336.50	40439.34
180648000	4170	43320.14	36494.89
181069000	4180	43317.74	42311.56
181488000	4190	43314.14	41816.37
181908000	4200	43310.77	41899.44
182319000	4210	43305.18	40964.82
182722000	4220	43298.93	40645.49
183036000	4230	43270.56	31327.95
183439000	4240	43263.03	40091.52
183845000	4250	43257.56	40919.17
184228000	4260	43245.38	38098.08
184642000	4270	43241.47	41570.44
185064000	4280	43238.65	42036.06
185404000	4290	43217.71	34201.79
185787000	4300	43206.06	38219.74
186233000	4310	43209.10	44515.42
186669000	4320	43209.79	43504.29
187045000	4330	43196.67	37539.94
187471000	4340	43195.59	42723.90
187830000	4350	43179.09	36000.80
188225000	4360	43170.16	39303.48
188583000	4370	43153.11	35732.11
189018000	4380	43154.55	43789.01
189455000	4390	43155.45	43547.58
189802000	4400	43136.59	34828.87
190158000	4410	43119.27	35514.76
190553000	4420	43110.59	39303.48
190978000	4430	43109.85	42778.06
191309000	4440	43086.97	32987.84
191794000	4450	43098.81	48335.66
192416000	4460	43142.29	62625.86
192866000	4470	43146.25	44910.18
193609000	4480	43216.21	74620.87
194242000	4490	43260.31	62891.21
194778000	4500	43283.13	53514.38
195315000	4510	43306.64	53931.91
195832000	4520	43325.06	51617.41
196297000	4530	43331.86	46397.92
196789000	4540	43345.50	49571.79
197285000	4550	43358.84	49387.63
197730000	4560	43361.14	44406.75
198192000	4570	43367.22	46135.41
198665000	4580	43376.62	47710.31
199046000	4590	43364.79	37967.12
199494000	4600	43368.13	44903.28
199945000	4610	43371.58	44951.66
200395000	4620	43374.96	44932.60
200819000	4630	43372.67	42315.37
201279000	4640	43378.79	46226.51
201688000	4650	43373.29	40826.51
202123000	4660	43373.41	43430.51
202580000	4670	43378.19	45599.68
202951000	4680	43365.18	37263.96
203365000	4690	43360.77	41300.88
203535000	4700	43304.49	16964.37
203634000	4710	43234.20	9968.78
203694000	4720	43155.18	5991.01
203826000	4730	43091.71	13180.23
203987000	4740	43034.59	16067.86
204087000	4750	42964.91	9985.02
204155000	4760	42889.69	6857.60
204384000	4770	42847.48	22822.40
204747000	4780	42833.64	36245.63
205123000	4790	42822.98	37709.36
205540000	4800	42820.09	41447.17
205964000	4810	42819.93	42741.94
206394000	4820	42819.67	42696.85
206631000	4830	42779.91	23652.69
207021000	4840	42772.70	39267.02
207453000	4850	42773.29	43057.91
207815000	4860	42759.42	36055.78
208228000	4870	42757.18	41658.26
208659000	4880	42757.57	42949.68
209005000	4890	42740.69	34520.60
209282000	4900	42709.85	27652.99
209688000	4910	42706.12	40869.74
210135000	4920	42709.95	44584.08
210527000	4930	42702.55	39074.96
210915000	4940	42694.53	38745.76
211271000	4950	42680.79	35843.74
211695000	4960	42679.84	42214.26
212058000	4970	42667.18	36372.75
212480000	4980	42666.56	42360.97
212917000	4990	42668.24	43499.90
213336000	5000	42666.59	41841.42
213611000	5010	42636.19	27461.55
213952000	5020	42619.90	34388.87
214357000	5030	42615.57	40443.38
214719000	5040	42602.52	36062.96
215125000	5050	42598.20	40430.19
215601000	5060	42608.23	47681.06
216010000	5070	42604.99	40965.54
216632000	5080	42643.45	62113.04
217360000	5090	42703.20	73239.44
218015000	5100	42747.69	65336.66
218589000	5110	42776.14	57251.15
219136000	5120	42799.21	54558.15
219576000	5130	42802.09	44283.41
220067000	5140	42813.97	48880.04
220564000	5150	42827.84	50005.03
221044000	5160	42837.15	47590.72
221480000	5170	42839.08	43836.72
221959000	5180	42848.62	47771.02
222387000	5190	42849.00	43045.36
222851000	5200	42855.16	46027.18
223291000	5210	42857.99	44341.43
223737000	5220	42860.80	44316.38
224182000	5230	42864.61	44867.92
224572000	5240	42857.11	38941.59
225002000	5250	42856.90	42747.79
225452000	5260	42861.51	45294.41
225894000	5270	42863.83	44080.98
226342000	5280	42867.35	44719.50
226800000	5290	42872.78	45735.97
227263000	5300	42879.68	46551.38
227593000	5310	42860.62	32816.23
227988000	5320	42854.19	39444.78
228410000	5330	42853.43	42446.19
228834000	5340	42852.15	42172.27
229230000	5350	42845.95	39540.69
229657000	5360	42846.30	43035.68
229995000	5370	42829.14	33665.34
230367000	5380	42819.12	37409.49
230780000	5390	42815.84	41061.84
231186000	5400	42812.19	40832.75
231614000	5410	42812.00	42710.31
232029000	5420	42809.42	41417.17
232370000	5430	42793.63	34206.04
232663000	5440	42768.69	29250.27
233077000	5450	42766.37	41503.76
233496000	5460	42764.75	41879.06
233939000	5470	42767.41	44215.99
234309000	5480	42756.76	36940.89
234678000	5490	42745.96	36837.38
235060000	5500	42737.47	38089.54
235485000	5510	42737.65	42838.42
235857000	5520	42727.52	37155.41
236292000	5530	42728.72	43387.19
236722000	5540	42729.08	42927.02
237049000	5550	42711.35	32844.52
237441000	5560	42704.75	39055.49
237860000	5570	42703.10	41787.17
238200000	5580	42688.07	34256.93
238615000	5590	42685.86	41450.26
239033000	5600	42684.17	41745.73
239413000	5610	42675.48	37826.00
239795000	5620	42668.13	38511.95
240378000	5630	42695.66	58125.62
241055000	5640	42739.51	67262.79
241661000	5650	42771.31	60751.88
242290000	5660	42807.30	63260.59
242821000	5670	42825.32	53004.59
243351000	5680	42843.09	52904.77
243883000	5690	42861.56	53386.85
244388000	5700	42874.54	50218.77
244898000	5710	42888.58	50872.82
245380000	5720	42898.46	48583.81
245776000	5730	42892.57	39528.85
246262000	5740	42902.20	48401.55
246718000	5750	42906.79	45536.25
247183000	5760	42913.61	46865.55
247593000	5770	42910.16	40926.33
248028000	5780	42911.38	43617.77
248434000	5790	42907.25	40523.01
248892000	5800	42911.93	45612.99
249336000	5810	42914.29	44276.03
249777000	5820	42916.80	44384.06
250223000	5830	42919.51	44493.22
250627000	5840	42915.38	40505.31
251030000	5850	42910.78	40227.59
251474000	5860	42913.15	44293.70
251848000	5870	42903.59	37314.18
251961000	5880	42850.49	11401.47
252071000	5890	42796.26	10976.95
252130000	5900	42733.64	5893.52
252296000	5910	42689.22	16553.65
252530000	5920	42656.43	23332.34
252573000	5930	42592.36	4336.86
252653000	5940	42534.02	7988.82
252879000	5950	42500.10	22467.44
253295000	5960	42499.12	41910.13
253646000	5970	42486.28	34880.25
254061000	5980	42484.48	41413.03
254488000	5990	42485.33	42996.68
254882000	6000	42480.03	39313.51
255298000	6010	42478.32	41454.91
255726000	6020	42478.73	42727.36
256021000	6030	42457.41	29585.80
256438000	6040	42455.98	41596.01
256857000	6050	42455.56	42199.62
257306000	6060	42459.44	44801.44
257598000	6070	42437.46	29144.63
258039000	6080	42440.01	43981.25
258413000	6090	42432.29	37701.61
258730000	6100	42414.46	31589.44
