elap_secs	cum_tps	int_tps	cum_ips	int_ips
2930	36.11	34.00	0.00	0.00
2940	36.12	38.55	0.00	0.00
2950	36.11	32.65	0.00	0.00
2960	36.12	37.55	0.00	0.00
2970	36.12	36.35	0.00	0.00
2980	36.11	34.65	0.00	0.00
2990	36.13	42.25	0.00	0.00
3000	36.12	32.28	0.00	0.00
3010	36.13	38.05	0.00	0.00
3020	36.11	32.76	0.00	0.00
3030	36.12	39.05	0.00	0.00
3040	36.12	33.76	0.00	0.00
3050	36.11	33.75	0.00	0.00
3060	36.12	39.35	0.00	0.00
3070	36.11	32.58	0.00	0.00
3080	36.11	38.05	0.00	0.00
3090	36.11	34.15	0.00	0.00
3100	36.11	35.65	0.00	0.00
3110	36.10	33.15	0.00	0.00
3120	36.11	40.04	0.00	0.00
3130	36.11	36.75	0.00	0.00
3140	36.11	35.85	0.00	0.00
3150	36.11	35.00	0.00	0.00
3160	36.10	33.85	0.00	0.00
3170	36.10	37.25	0.00	0.00
3180	36.11	38.25	0.00	0.00
3190	36.12	38.75	0.00	0.00
3200	36.11	33.45	0.00	0.00
3210	36.11	34.55	0.00	0.00
3220	36.11	36.92	0.00	0.00
3230	36.10	33.56	0.00	0.00
3240	36.10	36.25	0.00	0.00
3250	36.10	37.15	0.00	0.00
3260	36.10	34.15	0.00	0.00
3270	36.10	36.95	0.00	0.00
3280	36.10	35.45	0.00	0.00
3290	36.10	35.15	0.00	0.00
3300	36.10	36.01	0.00	0.00
3310	36.09	35.45	0.00	0.00
3320	36.10	39.25	0.00	0.00
3330	36.09	32.65	0.00	0.00
3340	36.09	36.05	0.00	0.00
3350	36.09	34.70	0.00	0.00
3360	36.09	34.95	0.00	0.00
3370	36.08	35.95	0.00	0.00
3380	36.09	38.25	0.00	0.00
3390	36.09	36.66	0.00	0.00
3400	36.09	35.05	0.00	0.00
3410	36.09	35.45	0.00	0.00
3420	36.08	34.90	0.00	0.00
3430	36.08	34.56	0.00	0.00
3440	36.08	35.75	0.00	0.00
3450	36.08	35.75	0.00	0.00
3460	36.08	37.95	0.00	0.00
3470	36.08	33.96	0.00	0.00
3480	36.07	35.05	0.00	0.00
3490	36.08	36.55	0.00	0.00
3500	36.08	37.53	0.00	0.00
3510	36.08	36.15	0.00	0.00
3520	36.08	35.15	0.00	0.00
3530	36.07	34.16	0.00	0.00
3540	36.07	35.85	0.00	0.00
3550	36.07	35.75	0.00	0.00
3560	36.07	37.55	0.00	0.00
3570	36.08	37.72	0.00	0.00
3580	36.08	37.95	0.00	0.00
3590	36.08	33.36	0.00	0.00
3600	36.07	33.35	0.00	0.00
3610	36.07	37.75	0.00	0.00
3620	36.07	34.16	0.00	0.00
3630	36.07	38.35	0.00	0.00
3640	36.08	37.06	0.00	0.00
3650	36.06	30.98	0.00	0.00
3660	36.07	38.65	0.00	0.00
3670	36.07	35.16	0.00	0.00
3680	36.08	39.65	0.00	0.00
3690	36.06	30.66	0.00	0.00
3700	36.06	36.25	0.00	0.00
3710	36.06	35.35	0.00	0.00
3720	36.08	42.05	0.00	0.00
3730	36.07	31.37	0.00	0.00
3740	36.07	37.74	0.00	0.00
3750	36.06	33.44	0.00	0.00
3760	36.06	36.26	0.00	0.00
3770	36.07	37.57	0.00	0.00
3780	36.07	35.85	0.00	0.00
3790	36.06	31.66	0.00	0.00
3800	36.06	38.54	0.00	0.00
3810	36.06	35.16	0.00	0.00
3820	36.06	36.36	0.00	0.00
3830	36.06	37.35	0.00	0.00
3840	36.06	35.85	0.00	0.00
3850	36.05	31.47	0.00	0.00
3860	36.06	37.95	0.00	0.00
3870	36.05	33.97	0.00	0.00
3880	36.05	36.95	0.00	0.00
3890	36.05	36.01	0.00	0.00
3900	36.06	38.35	0.00	0.00
3910	36.06	34.67	0.00	0.00
3920	36.05	35.75	0.00	0.00
3930	36.04	31.86	0.00	0.00
3940	36.05	37.75	0.00	0.00
3950	36.06	40.45	0.00	0.00
3960	36.05	32.45	0.00	0.00
3970	36.05	35.41	0.00	0.00
3980	36.04	33.67	0.00	0.00
3990	36.04	35.55	0.00	0.00
4000	36.04	37.25	0.00	0.00
4010	36.05	37.85	0.00	0.00
4020	36.05	35.45	0.00	0.00
4030	36.04	32.55	0.00	0.00
4040	36.04	35.40	0.00	0.00
4050	36.03	35.16	0.00	0.00
4060	36.04	36.75	0.00	0.00
4070	36.05	39.65	0.00	0.00
4080	36.04	32.86	0.00	0.00
4090	36.04	37.26	0.00	0.00
4100	36.03	33.56	0.00	0.00
4110	36.03	35.05	0.00	0.00
4120	36.03	35.52	0.00	0.00
4130	36.03	34.65	0.00	0.00
4140	36.03	35.75	0.00	0.00
4150	36.02	32.76	0.00	0.00
4160	36.02	37.76	0.00	0.00
4170	36.02	34.36	0.00	0.00
4180	36.02	34.75	0.00	0.00
4190	36.01	34.25	0.00	0.00
4200	36.01	36.72	0.00	0.00
4210	36.01	34.06	0.00	0.00
4220	36.01	37.26	0.00	0.00
4230	36.01	34.85	0.00	0.00
4240	36.01	34.36	0.00	0.00
4250	36.01	38.05	0.00	0.00
4260	36.00	33.37	0.00	0.00
4270	36.00	34.65	0.00	0.00
4280	36.00	37.26	0.00	0.00
4290	36.00	35.51	0.00	0.00
4300	36.00	34.75	0.00	0.00
4310	36.00	34.56	0.00	0.00
4320	36.00	37.25	0.00	0.00
4330	35.99	34.06	0.00	0.00
4340	36.00	40.06	0.00	0.00
4350	35.99	31.66	0.00	0.00
